scale,selector,anchor_p,seed_q0,true_q_for_audit_only,selected_q,selector_status,failure_mode
1000000000000,milestone1_boundary_without_offset,999999994009,999999994043,999999994087,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999994009,999999994043,999999994087,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999993929,999999993953,999999994009,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999993929,999999993953,999999994009,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999993871,999999993877,999999993899,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999993871,999999993877,999999993899,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999993793,999999993841,999999993847,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999993793,999999993841,999999993847,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999993749,999999993757,999999993763,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999993749,999999993757,999999993763,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999993653,999999993689,999999993749,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999993653,999999993689,999999993749,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999993481,999999993523,999999993557,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999993481,999999993523,999999993557,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999993389,999999993437,999999993467,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999993389,999999993437,999999993467,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999993361,999999993371,999999993389,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999993361,999999993371,999999993389,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999993287,999999993301,999999993361,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999993287,999999993301,999999993361,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999993259,999999993263,999999993287,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999993259,999999993263,999999993287,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999992977,999999992987,999999993029,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999992977,999999992987,999999993029,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999992941,999999992947,999999992977,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999992941,999999992947,999999992977,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999992843,999999992911,999999992941,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999992843,999999992911,999999992941,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999992743,999999992749,999999992843,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999992743,999999992749,999999992843,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999992647,999999992653,999999992731,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999992647,999999992653,999999992731,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999992539,999999992567,999999992611,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999992539,999999992567,999999992611,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999992447,999999992461,999999992531,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999992447,999999992461,999999992531,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,milestone1_boundary_without_offset,999999999999989,1000000000000003,1000000000000037,,InsufficientBoundarySelectorStateError,no_selection
