scale,key_name,anchor_p,seed_q0,true_q_for_audit_only,selected_q,failure_mode
1000000000000000,K_seed_mods,999999999993977,999999999993983,999999999994043,,no_selection
1000000000000000,K_seed_mods,999999999993937,999999999993961,999999999993971,,no_selection
1000000000000000,K_seed_mods,999999999993791,999999999993809,999999999993881,999999999993847,selected_too_early
1000000000000000,K_seed_mods,999999999993727,999999999993733,999999999993791,999999999993811,selected_too_late
1000000000000000,K_seed_mods,999999999993653,999999999993677,999999999993689,,no_selection
1000000000000000,K_seed_mods,999999999993629,999999999993637,999999999993649,999999999993643,selected_too_early
1000000000000000,K_seed_mods,999999999993583,999999999993607,999999999993629,,no_selection
1000000000000000,K_seed_mods,999999999993557,999999999993563,999999999993569,,no_selection
1000000000000000,K_seed_mods,999999999993497,999999999993539,999999999993557,,no_selection
1000000000000000,K_seed_mods,999999999993473,999999999993479,999999999993497,,no_selection
1000000000000000,K_seed_mods,999999999993389,999999999993433,999999999993473,,no_selection
1000000000000000,K_seed_mods,999999999993331,999999999993349,999999999993377,,no_selection
1000000000000000,K_seed_mods,999999999993227,999999999993229,999999999993331,,no_selection
1000000000000000,K_seed_mods,999999999993217,999999999993221,999999999993227,,no_selection
1000000000000000,K_seed_mods,999999999993131,999999999993139,999999999993143,999999999993163,selected_too_late
1000000000000000,K_seed_mods,999999999993109,999999999993121,999999999993131,,no_selection
1000000000000000,K_seed_mods,999999999993097,999999999993101,999999999993109,999999999993121,selected_too_late
1000000000000000,K_seed_mods,999999999993089,999999999993091,999999999993097,,no_selection
1000000000000000,K_seed_mods,999999999993067,999999999993073,999999999993089,999999999993107,selected_too_late
1000000000000000,K_seed_mods,999999999992999,999999999993011,999999999993067,,no_selection
1000000000000000,K_seed_mods,999999999992921,999999999992951,999999999992999,,no_selection
1000000000000000,K_seed_mods,999999999992659,999999999992663,999999999992687,,no_selection
1000000000000000,K_seed_mods,999999999992401,999999999992407,999999999992429,,no_selection
1000000000000000,K_seed_mods,999999999992339,999999999992351,999999999992353,999999999992381,selected_too_late
1000000000000000,K_seed_mods,999999999992281,999999999992327,999999999992339,,no_selection
1000000000000000,K_seed_mods,999999999992143,999999999992177,999999999992197,,no_selection
1000000000000000,K_seed_mods,999999999992057,999999999992113,999999999992143,,no_selection
1000000000000000,K_seed_mods,999999999991973,999999999992023,999999999992041,,no_selection
1000000000000000,K_seed_mods,999999999991871,999999999991873,999999999991961,,no_selection
1000000000000000,K_seed_mods,999999999991823,999999999991831,999999999991847,,no_selection
