scale,anchor_p,seed_q0,true_q_for_audit_only,terminal_delta_from_seed_for_audit_only,terminal_visible_index_for_audit_only,seed_offset_from_anchor,candidate_bound,visible_divisor_bound,carrier_d_probe_only,p_mod_30,p_mod_210,p_mod_2310,seed_mod_30,seed_mod_210,seed_mod_2310,visible_open_count_after_seed,visible_delta_vector,visible_delta_prefix_2,visible_delta_prefix_3,visible_delta_prefix_4,visible_delta_prefix_8,visible_gap_prefix_3,visible_gap_prefix_4,visible_gap_prefix_8,open_square_delta_from_seed,open_square_visible_count_before,candidate_bound_contains_terminal
1000000000000,999999995177,999999995201,999999995207,6,1,24,128,10000,,17,197,1877,11,11,1901,5,6.32.36.56.98,6.32,6.32.36,6.32.36.56,6.32.36.56.98,26.4.20,26.4.20.42,26.4.20.42,2004800,5,True
1000000000000,999999995147,999999995149,999999995177,28,2,2,128,10000,,17,167,1847,19,169,1849,7,22.28.52.58.84.88.108,22.28,22.28.52,22.28.52.58,22.28.52.58.84.88.108,6.24.6,6.24.6.26,6.24.6.26.4.20,2004852,7,True
1000000000000,999999995131,999999995143,999999995147,4,1,12,128,10000,,1,151,1831,13,163,1843,9,4.6.28.34.58.64.90.94.114,4.6,4.6.28,4.6.28.34,4.6.28.34.58.64.90.94,2.22.6,2.22.6.24,2.22.6.24.6.26.4.20,2004858,9,True
1000000000000,999999994909,999999994919,999999994937,18,1,10,128,10000,,19,139,1609,29,149,1619,6,18.38.60.80.90.98,18.38,18.38.60,18.38.60.80,18.38.60.80.90.98,20.22.20,20.22.20.10,20.22.20.10.8,2005082,6,True
1000000000000,999999994897,999999994907,999999994909,2,1,10,128,10000,,7,127,1597,17,137,1607,8,2.12.30.50.72.92.102.110,2.12,2.12.30,2.12.30.50,2.12.30.50.72.92.102.110,10.18.20,10.18.20.22,10.18.20.22.20.10.8,2005094,8,True
1000000000000,999999994823,999999994871,999999994897,26,1,48,128,10000,,23,53,1523,11,101,1571,5,26.36.38.48.66,26.36,26.36.38,26.36.38.48,26.36.38.48.66,10.2.10,10.2.10.18,10.2.10.18,2005130,5,True
1000000000000,999999994781,999999994783,999999994793,10,1,2,128,10000,,11,11,1481,13,13,1483,8,10.18.34.40.88.114.124.126,10.18,10.18.34,10.18.34.40,10.18.34.40.88.114.124.126,8.16.6,8.16.6.48,8.16.6.48.26.10.2,2005218,8,True
1000000000000,999999994769,999999994771,999999994781,10,1,2,128,10000,,29,209,1469,1,1,1471,8,10.12.22.30.46.52.100.126,10.12,10.12.22,10.12.22.30,10.12.22.30.46.52.100.126,2.10.8,2.10.8.16,2.10.8.16.6.48.26,2005230,8,True
1000000000000,999999994729,999999994753,999999994769,16,1,24,128,10000,,19,169,1429,13,193,1453,8,16.18.28.30.40.48.64.70,16.18,16.18.28,16.18.28.30,16.18.28.30.40.48.64.70,2.10.2,2.10.2.10,2.10.2.10.8.16.6,2005248,8,True
1000000000000,999999994687,999999994723,999999994729,6,1,36,128,10000,,7,127,1387,13,163,1423,8,6.30.46.48.58.60.70.78,6.30,6.30.46,6.30.46.48,6.30.46.48.58.60.70.78,24.16.2,24.16.2.10,24.16.2.10.2.10.8,2005278,8,True
1000000000000,999999994639,999999994661,999999994687,26,1,22,128,10000,,19,79,1339,11,101,1361,4,26.62.68.92,26.62,26.62.68,26.62.68.92,26.62.68.92,36.6.24,36.6.24,36.6.24,2005340,4,True
1000000000000,999999994583,999999994601,999999994603,2,1,18,128,10000,,23,23,1283,11,41,1301,6,2.6.12.38.60.86,2.6,2.6.12,2.6.12.38,2.6.12.38.60.86,4.6.26,4.6.26.22,4.6.26.22.26,2005400,6,True
1000000000000,999999994517,999999994531,999999994579,48,2,14,128,10000,,17,167,1217,1,181,1231,8,18.48.52.70.72.76.82.108,18.48,18.48.52,18.48.52.70,18.48.52.70.72.76.82.108,30.4.18,30.4.18.2,30.4.18.2.4.6.26,2005470,8,True
1000000000000,999999994471,999999994481,999999994493,12,1,10,128,10000,,1,121,1171,11,131,1181,6,12.36.50.68.98.102,12.36,12.36.50,12.36.50.68,12.36.50.68.98.102,24.14.18,24.14.18.30,24.14.18.30.4,2005520,6,True
1000000000000,999999994457,999999994459,999999994463,4,1,2,128,10000,,17,107,1157,19,109,1159,9,4.12.22.34.58.72.90.120.124,4.12,4.12.22,4.12.22.34,4.12.22.34.58.72.90.120,8.10.12,8.10.12.24,8.10.12.24.14.18.30.4,2005542,9,True
1000000000000,999999994379,999999994381,999999994403,22,2,2,128,10000,,29,29,1079,1,31,1081,11,6.22.42.48.58.76.78.82.90.100.112,6.22,6.22.42,6.22.42.48,6.22.42.48.58.76.78.82,16.20.6,16.20.6.10,16.20.6.10.18.2.4.8,2005620,11,True
1000000000000,999999994361,999999994363,999999994379,16,1,2,128,10000,,11,11,1061,13,13,1063,12,16.18.24.40.60.66.76.94.96.100.108.118,16.18,16.18.24,16.18.24.40,16.18.24.40.60.66.76.94,2.6.16,2.6.16.20,2.6.16.20.6.10.18.2,2005638,12,True
